duplicate_ids,framework,full_end_to_end_wall_seconds,generation_wall_seconds,mean_gpu_utilization,missing_rows,model_server_startup_seconds,rep,returncode,row_order_correct,rows_s,schema_valid_rows,setup_seconds,successfully_materialized_rows,tok_s_gpu,total_generated_tokens,total_rows
0,anonlib,71.917279,70.72827899999999,11.921875,0,1.189,1,0,True,13.90486422602279,1000,120.819,1000,678.1870091876548,47967,1000
0,anonlib,88.439622,87.254622,16.1875,0,1.185,2,0,True,11.307149187046504,1000,120.819,1000,548.7388393018309,47880,1000
0,anonlib,45.416235,44.205235,8.25,0,1.211,3,0,True,22.01855790115583,1000,120.819,1000,1083.5142036910333,47897,1000
0,nemo,140.718126,,17.79310344827586,0,,1,0,True,7.106405041238254,1000,34.618,1000,,,1000
0,nemo,145.66856,,17.625,0,,2,0,True,6.8648993303702595,1000,34.618,1000,,,1000
0,nemo,107.138004,,15.965909090909092,0,,3,0,True,9.333756115150326,1000,34.618,1000,,,1000
